CollectionCode,Family,proportion
CDS,Asteraceae,0.06182819844905536
CDS,Poaceae,0.05230695529806282
CDS,Physciaceae (= Caliciaceae),0.04548040360489835
CDS,Parmeliaceae,0.04422288092457858
CDS,Fabaceae,0.04030060780262882
CDS,Euphorbiaceae,0.034402227611605135
CDS,Roccellaceae,0.03359382017425672
CDS,Boraginaceae,0.033503997125662446
CDS,Ramalinaceae,0.03224647444534268
CDS,Malvaceae,0.02751579388604449
CDS,Amaranthaceae,0.02536004071978203
CDS,Solanaceae,0.025090571573999222
CDS,Graphidaceae,0.021797059792209347
CDS,Convolvulaceae,0.018503548010419472
CDS,Cactaceae,0.01772508158926914
CDS,Cyperaceae,0.015539387406808587
CDS,Arthoniaceae,0.015150154196233421
CDS,Verbenaceae,0.014880685050450612
CDS,Lecanoraceae,0.01398245456450792
CDS,Myrtaceae,0.013563280337734662
CDS,Rubiaceae,0.01260516781939579
CDS,Teloschistaceae,0.011197940058085571
CDS,Collemataceae,0.010718883798916135
CDS,Lamiaceae,0.010718883798916135
CDS,Pilocarpaceae,0.010569178717925686
CDS,Pyrenulaceae,0.010449414653133328
CDS,Cladoniaceae,0.01006018144255816
CDS,Passifloraceae,0.009042186891823109
CDS,Pertusariaceae,0.0087727177460403
CDS,Caesalpinaceae,0.008413425551663224
CDS,Nyctaginaceae,0.008353543519267044
CDS,Burseraceae,0.007664900146710979
CDS,Acanthaceae,0.00763495913051289
CDS,Apocynaceae,0.006587023563579748
CDS,Pteridaceae,0.00634749543399503
CDS,Plantaginaceae,0.006078026288212222
CDS,Mimosaceae,0.005449264948052337
CDS,Trypetheliaceae,0.005239677834665709
CDS,Molluginaceae,0.005209736818467619
CDS,Loasaceae,0.00503009072127908
CDS,Stereocaulaceae,0.004820503607892452
CDS,Thelypteridaceae,0.0045210934459115545
CDS,Cucurbitaceae,0.004461211413515374
CDS,Rutaceae,0.004341447348723016
CDS,Aizoaceae,0.004311506332524926
CDS,Polypodiaceae,0.004311506332524926
CDS,Oxalidaceae,0.004101919219138298
CDS,Coccocarpiaceae,0.004042037186742118
CDS,Urticaceae,0.004042037186742118
CDS,Gomphillaceae,0.003982155154345938
CDS,Piperaceae,0.003982155154345938
CDS,Simaroubaceae,0.003952214138147849
CDS,Araceae,0.0038923321057516692
CDS,Celastraceae,0.0038923321057516692
CDS,Portulacaceae,0.0038025090571574
CDS,Rosaceae,0.00377256804095931
CDS,Lobariaceae,0.003652803976166951
CDS,Brassicaceae,0.0035929219437707714
CDS,Dryopteridaceae,0.0034432168627803227
CDS,Lejeuneaceae,0.0033234527979879636
CDS,Zygophyllaceae,0.0032336297493936943
CDS,Commelinaceae,0.0032036887331956046
CDS,Combretaceae,0.003113865684601335
CDS,Orchidaceae,0.002934219587412797
CDS,Dictyotaceae,0.002874337555016617
CDS,Apiaceae,0.0027246324740261684
CDS,Sapindaceae,0.0026946914578280788
CDS,Rhamnaceae,0.0026048684092338094
